Timestamp,Rail,Capture #,Nominal (V),Dip Min (V),Limit (V),Result
2026-08-02 15:59:16,+3V6,1,3.600,3.4398,3.4200,PASS
2026-08-02 15:59:16,+3V6,2,3.600,3.5198,3.4200,PASS
2026-08-02 15:59:16,+3V6,3,3.600,3.4786,3.4200,PASS
2026-08-02 15:59:16,+3V6,4,3.600,3.5053,3.4200,PASS
2026-08-02 15:59:16,+3V6,5,3.600,3.4867,3.4200,PASS
2026-08-02 15:59:16,+3V6,6,3.600,3.4786,3.4200,PASS
2026-08-02 15:59:16,+3V6,7,3.600,3.4444,3.4200,PASS
2026-08-02 15:59:16,+3V6,8,3.600,3.4833,3.4200,PASS
2026-08-02 15:59:16,+3V6,9,3.600,3.5496,3.4200,PASS
2026-08-02 15:59:16,+3V6,10,3.600,3.5455,3.4200,PASS
2026-08-02 15:59:16,+1V8,1,1.800,1.7098,1.7100,FAIL
2026-08-02 15:59:16,+1V8,2,1.800,1.7158,1.7100,PASS
2026-08-02 15:59:16,+1V8,3,1.800,1.7263,1.7100,PASS
2026-08-02 15:59:16,+1V8,4,1.800,1.7515,1.7100,PASS
2026-08-02 15:59:16,+1V8,5,1.800,1.7096,1.7100,FAIL
2026-08-02 15:59:16,+1V8,6,1.800,1.7112,1.7100,PASS
2026-08-02 15:59:16,+1V8,7,1.800,1.7397,1.7100,PASS
2026-08-02 15:59:16,+1V8,8,1.800,1.7728,1.7100,PASS
2026-08-02 15:59:16,+1V8,9,1.800,1.7093,1.7100,FAIL
2026-08-02 15:59:16,+1V8,10,1.800,1.7533,1.7100,PASS
2026-08-02 15:59:16,+3V3,1,3.300,3.1368,3.1350,PASS
2026-08-02 15:59:16,+3V3,2,3.300,3.1027,3.1350,FAIL
2026-08-02 15:59:16,+3V3,3,3.300,3.1713,3.1350,PASS
2026-08-02 15:59:16,+3V3,4,3.300,3.2581,3.1350,PASS
2026-08-02 15:59:16,+3V3,5,3.300,3.2456,3.1350,PASS
2026-08-02 15:59:16,+3V3,6,3.300,3.1190,3.1350,FAIL
2026-08-02 15:59:16,+3V3,7,3.300,3.2194,3.1350,PASS
2026-08-02 15:59:16,+3V3,8,3.300,3.1184,3.1350,FAIL
2026-08-02 15:59:16,+3V3,9,3.300,3.1982,3.1350,PASS
2026-08-02 15:59:16,+3V3,10,3.300,3.1271,3.1350,FAIL
2026-08-02 15:59:16,+2V5,1,2.500,2.4272,2.3750,PASS
2026-08-02 15:59:16,+2V5,2,2.500,2.3640,2.3750,FAIL
2026-08-02 15:59:16,+2V5,3,2.500,2.3556,2.3750,FAIL
2026-08-02 15:59:16,+2V5,4,2.500,2.4250,2.3750,PASS
2026-08-02 15:59:16,+2V5,5,2.500,2.4263,2.3750,PASS
2026-08-02 15:59:16,+2V5,6,2.500,2.4614,2.3750,PASS
2026-08-02 15:59:16,+2V5,7,2.500,2.3769,2.3750,PASS
2026-08-02 15:59:16,+2V5,8,2.500,2.4579,2.3750,PASS
2026-08-02 15:59:16,+2V5,9,2.500,2.4559,2.3750,PASS
2026-08-02 15:59:16,+2V5,10,2.500,2.4401,2.3750,PASS
